window_id,H_S,H_Sp,MI,P,H_f,H_b,Delta_H
107,2.541133061133826,2.5421387283174215,2.3922365676846487,0.4706096126217357,0.14990216063277284,0.14889649344917721,0.0010056671835956266
108,2.7762647574713806,2.7911636678552276,2.599579097415814,0.4669263614760008,0.19158457043941368,0.17668566005556663,0.014898910383847053
109,3.6480239923963453,3.6525818217002373,3.377866181228306,0.4626829974446856,0.27471564047193153,0.2701578111680396,0.004557829303891925
110,3.881195590869024,3.8955860562854494,3.594180779272307,0.4621681490295434,0.301405277013143,0.2870148115967175,0.014390465416425524
111,4.093360694352541,4.096567416997787,3.782120071606032,0.4618013760541359,0.3144473453917547,0.3112406227465092,0.0032067226452454634
112,3.8662964625272718,3.863104651566355,3.587872579751818,0.4641850677421524,0.27523207181453646,0.27842388277545327,-0.0031918109609168077
113,3.7078195230294093,3.71177296235371,3.4520679145163284,0.4652638162159221,0.25970504783738146,0.2557516085130809,0.003953439324300589
114,3.391732924364681,3.3771550318522223,3.164977714027086,0.46757720536948816,0.2121773178251365,0.22675521033759516,-0.014577892512458668
115,3.3041296724470848,3.3113202397709856,3.0914274549243115,0.4673041888224044,0.21989278484667363,0.21270221752277285,0.007190567323900776
116,3.251711441331218,3.2574685089365194,3.0406698485397903,0.46713562565046624,0.21679866039672957,0.2110415927914282,0.005757067605301369
117,3.1184091148685003,3.12105827476324,2.935550909461528,0.4704810084174168,0.1855073653017114,0.18285820540697184,0.0026491598947395723
118,3.48138865322285,3.488239578314466,3.2454673664214844,0.46565860596923403,0.24277221189298137,0.23592128680136515,0.006850925091616222
119,3.620203569632291,3.6255969299305346,3.38177315146116,0.4667218137823693,0.24382377846937464,0.2384304181711312,0.005393360298243444
120,3.579826950044012,3.5798269500440125,3.3489520384622846,0.46775334187887363,0.23087491158172746,0.23087491158172702,4.440892098500626e-16
121,3.5596976182443263,3.5596976182443263,3.308967188568295,0.4647820606459695,0.2507304296760311,0.2507304296760311,0.0
122,3.766230454557461,3.7689459142307244,3.498059795603111,0.4642306462915177,0.27088611862761347,0.2681706589543502,0.002715459673263254
123,3.9900438549701285,3.9971048505297357,3.6657173427480716,0.4589519336511036,0.33138750778166415,0.3243265122220569,0.007060995559607264
124,4.080408793846607,4.081729495150898,3.740195638200971,0.45823722972725467,0.3415338569499271,0.34021315564563626,0.00132070130429085
125,3.8118859784636077,3.800500503848335,3.496693107426151,0.4593425616987562,0.30380739642218346,0.3151928710374561,-0.011385474615272617
126,3.268666241692277,3.2626188481550877,3.0469560051659643,0.4665170733248717,0.21566284298912342,0.2217102365263126,-0.006047393537189194
127,2.233483999742421,2.2268356870581862,2.1152248769419097,0.47423167518720233,0.11161081011627694,0.11825912280051165,-0.006648312684234714
128,1.9731866362668282,1.9718965189989106,1.8756844258844385,0.4754486412741009,0.0962120931144721,0.09750221038238971,-0.001290117267917612
129,1.5021324066654718,1.5084656381678603,1.4203827259399566,0.47179420991704973,0.08808291222790365,0.08174968072551514,0.006333231502388514
130,1.6472487807645275,1.647538569731228,1.5811435838755201,0.47989245304028827,0.0663949858557078,0.0661051968890074,0.00028978896670039944
131,1.6681249939178309,1.6750569250977414,1.5704343491405133,0.4697424152147068,0.10462257595722835,0.09769064477731781,0.006931931179910533
132,1.8165227586158037,1.8159988060514904,1.7424788954666595,0.4796885206175658,0.07351991058483076,0.07404386314914402,-0.000523952564313257
133,1.8587418216241693,1.8661044852485333,1.7735069135460009,0.4761288835659363,0.09259757170253247,0.08523490807816847,0.0073626636243639965
134,2.6062778403854403,2.6078156904361207,2.4625406072788905,0.47228546874395616,0.14527508315723026,0.14373723310654984,0.0015378500506804116
135,2.5238064590041387,2.5392096330131797,2.3676099541734716,0.4676283683763913,0.17159967883970806,0.15619650483066705,0.01540317400904101
136,3.2058868542427983,3.212763752395694,2.9925619039491584,0.466229132468139,0.22020184844653512,0.2133249502936394,0.006876898152895716
137,3.3166217483228926,3.332736637843348,3.0836364519784927,0.46374947369266356,0.24910018586485538,0.2329852963443999,0.016114889520455478
138,3.498645435308979,3.50462116840636,3.2660257964683788,0.4663574844824132,0.23859537193798142,0.2326196388406001,0.005975733097381308
139,3.553538829792877,3.560817361657809,3.3116081668366184,0.4654824804549671,0.24920919482119075,0.24193066295625876,0.007278531864931992
140,3.6856339927846715,3.6904501375781926,3.4152187171531754,0.463012440855276,0.27523142042501725,0.27041527563149614,0.004816144793521104
141,3.646976194919329,3.628686633915143,3.3717358436227265,0.46342662145640734,0.2569507902924162,0.2752403512966022,-0.018289561004185995
142,3.9239138161593505,3.9384917086718088,3.631817424396444,0.46192191599967564,0.30667428427536425,0.292096391762906,0.014577892512458224
143,3.842266327529159,3.8436914912524847,3.553166190715258,0.4622932202454496,0.2905253005372268,0.289100136813901,0.0014251637233257952
144,3.4804654274544795,3.48046542745448,3.235015315424331,0.46473889525033085,0.24545011203014866,0.24545011203014822,4.440892098500626e-16
145,3.305095130961391,3.289653549373565,3.0668659803791947,0.4650466801751458,0.2227875689943697,0.23822915058219607,-0.01544158158782638
146,2.9372228453520117,2.9247671335107124,2.7523227578825127,0.4695202086333977,0.17244437562819925,0.1849000874694986,-0.012455711841299344
147,2.7420262248663243,2.74145416813562,2.5982763001804057,0.4738370731654925,0.14317786795521403,0.14374992468591818,-0.0005720567307041513
148,2.5962540379286563,2.5915229140008487,2.461867403437978,0.47455151334567847,0.12965551056287117,0.13438663449067878,-0.004731123927807612
149,2.5261670071847306,2.519547471185029,2.3852458151754825,0.47272706876314197,0.1343016560095469,0.14092119200924857,-0.0066195359997016645
150,2.5933894355664164,2.594112292240417,2.4525865835307465,0.4727876176665195,0.14152570870967063,0.1408028520356699,0.000722856674000738
151,2.680329213597967,2.6844067675283303,2.5255077359406175,0.47076086219818053,0.1588990315877128,0.15482147765734933,0.0040775539303634645
152,2.646959579011447,2.664627545762518,2.4933709226880953,0.4694210721045456,0.17125662307442235,0.15358865632335128,0.017667966751071074
153,2.6568232538625303,2.6652543372391326,2.493631283205436,0.468544706558714,0.1716230540336965,0.16319197065709412,0.008431083376602366
154,2.7614232875212315,2.769898961234932,2.598313228834926,0.46974540841825163,0.17158573240000585,0.16311005868630524,0.008475673713700616
155,2.8558469206303796,2.861419869233726,2.690767997996049,0.4706388728905209,0.17065187123767656,0.1650789226343301,0.00557294860334645
156,3.040451730427591,3.0494182502139,2.8528886881755056,0.4684646301553699,0.19652956203839445,0.1875630422520853,0.008966519786309135
157,3.3694319970452717,3.3763173390425796,3.160558795057632,0.46852597652117556,0.21575854398494698,0.20887320198763915,0.006885341997307837
158,3.5969743846163706,3.5988210311582565,3.3667184335709366,0.46787300625451556,0.23210259758732033,0.2302559510454345,0.0018466465418858213
159,3.9123788023805757,3.9136995036848674,3.6280070735196652,0.4635791940272118,0.2856924301652022,0.28437172886091044,0.0013207013042917382
160,4.012809321592017,4.014057752097796,3.71729425298167,0.46310649209155197,0.29676349911612565,0.2955150686103467,0.0012484305057789413
