t,theta1,theta2,omega1,omega2,KE1,KE2,PE1,PE2,TotalE
0.134,-1.531344175,-2.137851236,1.295509873,0.044371949,0.839172915,0.88738898,9.423074784,24.50251861,35.65215529
0.135,-1.530044132,-2.13780597,1.304574623,0.046166155,0.850957474,0.901465329,9.410331613,24.48940087,35.65215529
0.136,-1.52873503,-2.137758893,1.313625872,0.047993451,0.862806466,0.915668451,9.397500337,24.47618004,35.65215529
0.137,-1.527416885,-2.137709972,1.322663521,0.049854087,0.874719395,0.929998776,9.384581125,24.46285599,35.65215529
0.138,-1.526089708,-2.137659173,1.331687475,0.051748313,0.886695765,0.94445674,9.371574149,24.44942864,35.65215529
0.139,-1.524753514,-2.137606464,1.340697635,0.053676378,0.898735075,0.959042777,9.358479581,24.43589786,35.65215529
0.14,-1.523408317,-2.137551809,1.349693907,0.05563853,0.910836822,0.973757322,9.345297597,24.42226355,35.65215529
0.141,-1.522054131,-2.137495175,1.358676194,0.057635018,0.9230005,0.988600811,9.332028374,24.40852561,35.65215529
0.142,-1.52069097,-2.137436528,1.3676444,0.05966609,0.935225602,1.003573681,9.31867209,24.39468392,35.65215529
0.143,-1.519318847,-2.137375831,1.376598429,0.061731993,0.947511617,1.01867637,9.305228927,24.38073837,35.65215529
0.144,-1.517937778,-2.137313052,1.385538186,0.063832973,0.959858033,1.033909317,9.291699068,24.36668887,35.65215529
0.145,-1.516547775,-2.137248154,1.394463576,0.065969277,0.972264333,1.049272959,9.278082698,24.3525353,35.65215529
0.146,-1.515148855,-2.137181101,1.403374504,0.068141151,0.98473,1.064767736,9.264380003,24.33827755,35.65215529
0.147,-1.513741031,-2.137111859,1.412270876,0.070348839,0.997254514,1.080394088,9.250591174,24.32391551,35.65215529
0.148,-1.512324318,-2.137040392,1.421152597,0.072592587,1.009837351,1.096152455,9.236716401,24.30944908,35.65215529
0.149,-1.510898731,-2.136966662,1.430019572,0.074872638,1.022477989,1.112043278,9.222755877,24.29487815,35.65215529
0.15,-1.509464284,-2.136890634,1.438871709,0.077189236,1.035175898,1.128066997,9.208709798,24.2802026,35.65215529
0.151,-1.508020993,-2.136812271,1.447708914,0.079542623,1.04793055,1.144224055,9.19457836,24.26542233,35.65215529
0.152,-1.506568871,-2.136731537,1.456531093,0.081933041,1.060741413,1.160514891,9.180361764,24.25053722,35.65215529
0.153,-1.505107935,-2.136648393,1.465338154,0.084360732,1.073607953,1.176939948,9.16606021,24.23554718,35.65215529
0.154,-1.5036382,-2.136562803,1.474130004,0.086825937,1.086529634,1.193499668,9.151673902,24.22045208,35.65215529
0.155,-1.502159681,-2.136474729,1.48290655,0.089328896,1.099505918,1.210194493,9.137203047,24.20525183,35.65215529
